,quadrat,x,y
1,101,1,1
2,102,1,2
3,103,1,3
4,104,1,4
5,105,1,5
6,106,1,6
7,107,1,7
8,108,1,8
9,109,1,9
10,110,1,10
11,111,1,11
12,112,1,12
13,113,1,13
14,114,1,14
15,115,1,15
16,116,1,16
17,117,1,17
18,118,1,18
19,119,1,19
20,120,1,20
21,121,1,21
22,122,1,22
23,123,1,23
24,124,1,24
25,125,1,25
26,126,1,26
27,127,1,27
28,128,1,28
29,129,1,29
30,130,1,30
31,131,1,31
32,132,1,32
33,201,2,1
34,202,2,2
35,203,2,3
36,204,2,4
37,205,2,5
38,206,2,6
39,207,2,7
40,208,2,8
41,209,2,9
42,210,2,10
43,211,2,11
44,212,2,12
45,213,2,13
46,214,2,14
47,215,2,15
48,216,2,16
49,217,2,17
50,218,2,18
51,219,2,19
52,220,2,20
53,221,2,21
54,222,2,22
55,223,2,23
56,224,2,24
57,225,2,25
58,226,2,26
59,227,2,27
60,228,2,28
61,229,2,29
62,230,2,30
63,231,2,31
64,232,2,32
65,301,3,1
66,302,3,2
67,303,3,3
68,304,3,4
69,305,3,5
70,306,3,6
71,307,3,7
72,308,3,8
73,309,3,9
74,310,3,10
75,311,3,11
76,312,3,12
77,313,3,13
78,314,3,14
79,315,3,15
80,316,3,16
81,317,3,17
82,318,3,18
83,319,3,19
84,320,3,20
85,321,3,21
86,322,3,22
87,323,3,23
88,324,3,24
89,325,3,25
90,326,3,26
91,327,3,27
92,328,3,28
93,329,3,29
94,330,3,30
95,331,3,31
96,332,3,32
97,401,4,1
98,402,4,2
99,403,4,3
100,404,4,4
101,405,4,5
102,406,4,6
103,407,4,7
104,408,4,8
105,409,4,9
106,410,4,10
107,411,4,11
108,412,4,12
109,413,4,13
110,414,4,14
111,415,4,15
112,416,4,16
113,417,4,17
114,418,4,18
115,419,4,19
116,420,4,20
117,421,4,21
118,422,4,22
119,423,4,23
120,424,4,24
121,425,4,25
122,426,4,26
123,427,4,27
124,428,4,28
125,429,4,29
126,430,4,30
127,431,4,31
128,432,4,32
129,501,5,1
130,502,5,2
131,503,5,3
132,504,5,4
133,505,5,5
134,506,5,6
135,507,5,7
136,508,5,8
137,509,5,9
138,510,5,10
139,511,5,11
140,512,5,12
141,513,5,13
142,514,5,14
143,515,5,15
144,516,5,16
145,517,5,17
146,518,5,18
147,519,5,19
148,520,5,20
149,521,5,21
150,522,5,22
151,523,5,23
152,524,5,24
153,525,5,25
154,526,5,26
155,527,5,27
156,528,5,28
157,529,5,29
158,530,5,30
159,531,5,31
160,532,5,32
161,601,6,1
162,602,6,2
163,603,6,3
164,604,6,4
165,605,6,5
166,606,6,6
167,607,6,7
168,608,6,8
169,609,6,9
170,610,6,10
171,611,6,11
172,612,6,12
173,613,6,13
174,614,6,14
175,615,6,15
176,616,6,16
177,617,6,17
178,618,6,18
179,619,6,19
180,620,6,20
181,621,6,21
182,622,6,22
183,623,6,23
184,624,6,24
185,625,6,25
186,626,6,26
187,627,6,27
188,628,6,28
189,629,6,29
190,630,6,30
191,631,6,31
192,632,6,32
193,701,7,1
194,702,7,2
195,703,7,3
196,704,7,4
197,705,7,5
198,706,7,6
199,707,7,7
200,708,7,8
201,709,7,9
202,710,7,10
203,711,7,11
204,712,7,12
205,713,7,13
206,714,7,14
207,715,7,15
208,716,7,16
209,717,7,17
210,718,7,18
211,719,7,19
212,720,7,20
213,721,7,21
214,722,7,22
215,723,7,23
216,724,7,24
217,725,7,25
218,726,7,26
219,727,7,27
220,728,7,28
221,729,7,29
222,730,7,30
223,731,7,31
224,732,7,32
225,801,8,1
226,802,8,2
227,803,8,3
228,804,8,4
229,805,8,5
230,806,8,6
231,807,8,7
232,808,8,8
233,809,8,9
234,810,8,10
235,811,8,11
236,812,8,12
237,813,8,13
238,814,8,14
239,815,8,15
240,816,8,16
241,817,8,17
242,818,8,18
243,819,8,19
244,820,8,20
245,821,8,21
246,822,8,22
247,823,8,23
248,824,8,24
249,825,8,25
250,826,8,26
251,827,8,27
252,828,8,28
253,829,8,29
254,830,8,30
255,831,8,31
256,832,8,32
257,901,9,1
258,902,9,2
259,903,9,3
260,904,9,4
261,905,9,5
262,906,9,6
263,907,9,7
264,908,9,8
265,909,9,9
266,910,9,10
267,911,9,11
268,912,9,12
269,913,9,13
270,914,9,14
271,915,9,15
272,916,9,16
273,917,9,17
274,918,9,18
275,919,9,19
276,920,9,20
277,921,9,21
278,922,9,22
279,923,9,23
280,924,9,24
281,925,9,25
282,926,9,26
283,927,9,27
284,928,9,28
285,929,9,29
286,930,9,30
287,931,9,31
288,932,9,32
289,1001,10,1
290,1002,10,2
291,1003,10,3
292,1004,10,4
293,1005,10,5
294,1006,10,6
295,1007,10,7
296,1008,10,8
297,1009,10,9
298,1010,10,10
299,1011,10,11
300,1012,10,12
301,1013,10,13
302,1014,10,14
303,1015,10,15
304,1016,10,16
305,1017,10,17
306,1018,10,18
307,1019,10,19
308,1020,10,20
309,1021,10,21
310,1022,10,22
311,1023,10,23
312,1024,10,24
313,1025,10,25
314,1026,10,26
315,1027,10,27
316,1028,10,28
317,1029,10,29
318,1030,10,30
319,1031,10,31
320,1032,10,32
321,1101,11,1
322,1102,11,2
323,1103,11,3
324,1104,11,4
325,1105,11,5
326,1106,11,6
327,1107,11,7
328,1108,11,8
329,1109,11,9
